tier,layer,component,perturbation,mean_restoration,std_restoration
tier_1,10,mlp_out,standard_translation,-0.058300000000000005,0.077325
tier_1,10,mlp_out,transliteration,0.029775,0.164925
tier_1,10,residual,code_switching,0.237575,0.887975
tier_1,10,residual,standard_translation,0.074825,0.12637500000000002
tier_1,10,residual,transliteration,0.04080000000000001,0.2927
tier_1,11,attn_out,code_switching,0.1264,0.25827500000000003
tier_1,11,attn_out,standard_translation,-0.02495,0.05975
tier_1,11,attn_out,transliteration,-0.05185,0.13755
tier_1,11,mlp_out,code_switching,-0.14375,0.46405
tier_1,11,mlp_out,standard_translation,-0.02155,0.078075
tier_1,11,mlp_out,transliteration,0.048375,0.1218
tier_1,11,residual,code_switching,0.32235,0.61495
tier_1,11,residual,standard_translation,0.07802500000000001,0.138525
tier_1,11,residual,transliteration,0.09204999999999999,0.37355
tier_1,12,attn_out,code_switching,0.109,0.206225
tier_1,12,attn_out,standard_translation,-0.001725,0.064275
tier_1,12,attn_out,transliteration,0.10557499999999999,0.14125
tier_1,12,mlp_out,code_switching,-0.171375,0.39532500000000004
tier_1,12,mlp_out,standard_translation,-0.0031249999999999993,0.10417499999999999
tier_1,12,mlp_out,transliteration,0.187,0.296775
tier_1,12,residual,code_switching,0.3175,0.564975
tier_1,12,residual,standard_translation,0.06922500000000001,0.15115
tier_1,12,residual,transliteration,0.13179999999999997,0.42705000000000004
tier_1,13,attn_out,code_switching,0.09205,0.160775
tier_1,13,attn_out,standard_translation,-0.00145,0.045125
tier_1,13,attn_out,transliteration,0.00745,0.11155000000000001
tier_1,13,mlp_out,code_switching,-0.216075,0.52855
tier_1,13,mlp_out,standard_translation,-0.010375,0.046475
tier_1,13,mlp_out,transliteration,0.063375,0.139275
tier_1,13,residual,code_switching,0.50865,0.7006000000000001
tier_1,13,residual,standard_translation,0.076275,0.09975
tier_1,13,residual,transliteration,0.028075000000000003,0.25715
tier_1,14,attn_out,code_switching,-0.01045,0.0354
tier_1,14,attn_out,standard_translation,0.01485,0.030100000000000002
tier_1,14,attn_out,transliteration,-0.037,0.04517500000000001
tier_1,14,mlp_out,code_switching,-0.07542499999999999,0.189575
tier_1,14,mlp_out,standard_translation,0.0324,0.043925
tier_1,14,mlp_out,transliteration,0.052950000000000004,0.1654
tier_1,14,residual,code_switching,0.664275,1.068125
tier_1,14,residual,standard_translation,0.08170000000000001,0.07730000000000001
tier_1,14,residual,transliteration,-0.042525,0.219775
tier_1,15,attn_out,code_switching,0.09012500000000001,0.1615
tier_1,15,attn_out,standard_translation,0.021650000000000003,0.030275
tier_1,15,attn_out,transliteration,-0.0181,0.05425000000000001
tier_1,15,mlp_out,code_switching,-0.04262500000000001,0.290475
tier_1,15,mlp_out,standard_translation,0.0272,0.0445
tier_1,15,mlp_out,transliteration,0.097925,0.171875
tier_1,15,residual,code_switching,0.7705500000000001,1.369675
tier_1,15,residual,standard_translation,0.094925,0.08455
tier_1,15,residual,transliteration,-0.04145,0.29285
tier_1,16,attn_out,code_switching,0.04645,0.10949999999999999
tier_1,16,attn_out,standard_translation,0.013375,0.023674999999999998
tier_1,16,attn_out,transliteration,0.001875,0.020275
tier_1,16,mlp_out,code_switching,-0.258975,0.47465
tier_1,16,mlp_out,standard_translation,-0.020825,0.06205
tier_1,16,mlp_out,transliteration,0.014975,0.06385
tier_1,16,residual,code_switching,0.82975,1.520675
tier_1,16,residual,standard_translation,0.088375,0.08405
tier_1,16,residual,transliteration,-0.045500000000000006,0.274825
tier_1,17,attn_out,code_switching,0.060125000000000005,0.11509999999999998
tier_1,17,attn_out,standard_translation,0.01395,0.02095
tier_1,17,attn_out,transliteration,0.02335,0.068775
tier_1,17,mlp_out,code_switching,-0.1525,0.37434999999999996
tier_1,17,mlp_out,standard_translation,-0.016949999999999996,0.083075
tier_1,17,mlp_out,transliteration,-0.142175,0.304075
tier_1,17,residual,code_switching,0.82355,1.5065
tier_1,17,residual,standard_translation,0.12865000000000001,0.100575
tier_1,17,residual,transliteration,-0.1124,0.34362499999999996
tier_1,18,attn_out,code_switching,0.0035499999999999993,0.07794999999999999
tier_1,18,attn_out,standard_translation,0.00065,0.011675
tier_1,18,attn_out,transliteration,0.046225,0.060575
tier_1,18,mlp_out,code_switching,0.105625,0.193475
tier_1,18,mlp_out,standard_translation,0.008074999999999999,0.01985
tier_1,18,mlp_out,transliteration,0.0023750000000000004,0.036199999999999996
tier_1,18,residual,code_switching,0.5908749999999999,1.0848499999999999
tier_1,18,residual,standard_translation,0.043375,0.058525
tier_1,18,residual,transliteration,0.0994,0.248375
tier_1,19,attn_out,code_switching,0.0564,0.110875
tier_1,19,attn_out,standard_translation,-0.006025,0.0163
tier_1,19,attn_out,transliteration,0.018875,0.035250000000000004
tier_1,19,mlp_out,code_switching,0.08875,0.169125
tier_1,19,mlp_out,standard_translation,0.006125,0.021425
tier_1,19,mlp_out,transliteration,0.061675,0.110275
tier_1,19,residual,code_switching,0.436425,0.8251750000000001
tier_1,19,residual,standard_translation,0.038675,0.071625
tier_1,19,residual,transliteration,0.039675,0.11674999999999999
tier_1,20,attn_out,code_switching,0.0147,0.0236
tier_1,20,attn_out,standard_translation,0.004675,0.007025
tier_1,20,attn_out,transliteration,-0.001475,0.009925
tier_1,20,mlp_out,code_switching,0.1683,0.37262500000000004
tier_1,20,mlp_out,standard_translation,-0.0075250000000000004,0.017875000000000002
tier_1,20,mlp_out,transliteration,0.039175,0.06665
tier_1,20,residual,code_switching,0.38849999999999996,0.7674249999999999
tier_1,20,residual,standard_translation,0.02195,0.043925000000000006
tier_1,20,residual,transliteration,-0.006875,0.068125
tier_1,21,attn_out,code_switching,-0.0617,0.1394
tier_1,21,attn_out,standard_translation,-0.003025,0.006925
tier_1,21,attn_out,transliteration,-0.002375,0.009000000000000001
tier_1,21,mlp_out,code_switching,0.00355,0.022350000000000002
tier_1,21,mlp_out,standard_translation,0.006625,0.015175
tier_1,21,mlp_out,transliteration,-0.00605,0.014825000000000001
tier_1,21,residual,code_switching,0.40735000000000005,0.8273
tier_1,21,residual,standard_translation,0.006200000000000001,0.036199999999999996
tier_1,21,residual,transliteration,-0.041775,0.100375
tier_1,22,attn_out,code_switching,-0.000925,0.01125
tier_1,22,attn_out,standard_translation,-0.0006500000000000002,0.003375
tier_1,22,attn_out,transliteration,-0.002,0.005724999999999999
tier_1,22,mlp_out,code_switching,-0.121825,0.277575
tier_1,22,mlp_out,standard_translation,-0.00065,0.0077
tier_1,22,mlp_out,transliteration,-0.014850000000000002,0.030399999999999996
tier_1,22,residual,code_switching,0.034525,0.081875
tier_1,22,residual,standard_translation,0.005725,0.026375000000000003
tier_1,22,residual,transliteration,-0.03925000000000001,0.1251
tier_1,23,attn_out,code_switching,-0.03445000000000001,0.07379999999999999
tier_1,23,attn_out,standard_translation,0.0024749999999999998,0.004275
tier_1,23,attn_out,transliteration,-0.0029250000000000005,0.00885
tier_1,23,mlp_out,code_switching,0.024175000000000002,0.058675000000000005
tier_1,23,mlp_out,standard_translation,0.00135,0.006475
tier_1,23,mlp_out,transliteration,-0.00445,0.01575
tier_1,23,residual,code_switching,0.03712499999999999,0.1041
tier_1,23,residual,standard_translation,0.005875,0.029325
tier_1,23,residual,transliteration,-0.04305,0.1113
tier_1,24,attn_out,code_switching,-0.0179,0.040299999999999996
tier_1,24,attn_out,standard_translation,0.00105,0.00215
tier_1,24,attn_out,transliteration,-0.0036749999999999994,0.0072250000000000005
tier_1,24,mlp_out,code_switching,-0.030524999999999997,0.07857499999999999
tier_1,24,mlp_out,standard_translation,0.004575,0.0070999999999999995
tier_1,24,mlp_out,transliteration,-0.0102,0.022125000000000002
tier_1,24,residual,code_switching,-0.039200000000000006,0.13877499999999998
tier_1,24,residual,standard_translation,0.006450000000000001,0.031375
tier_1,24,residual,transliteration,-0.034225,0.09054999999999999
