intervention,param_value,language,tier,asr,over_refusal,langid_consistency,mmlu_accuracy
baseline,,all,all,1.0,0.0,0.0,
caa,0.5,all,all,1.0,0.0,0.0,
caa,1.0,all,all,1.0,0.0,0.0,
caa,1.5,all,all,1.0,0.0,0.0,
caa,2.0,all,all,1.0,0.0,0.0,
caa,2.5,all,all,1.0,0.0,0.0,
caa,3.0,all,all,1.0,0.0,0.0,
subspace_projection,0.001,all,all,1.0,0.0,0.0,
subspace_projection,0.01,all,all,1.0,0.0,0.0,
subspace_projection,0.1,all,all,1.0,0.0,0.0,
