layer,component,language,tier,perturbation,mean_restoration,std_restoration,n_pairs_used,n_pairs_skipped
28,residual,id,tier_3,standard_translation,-0.0085,0.007,20,0
28,attn_out,id,tier_3,standard_translation,-0.001,0.0013,20,0
28,mlp_out,id,tier_3,standard_translation,-0.0046,0.0034,20,0
29,residual,id,tier_3,standard_translation,-0.0063,0.0069,20,0
29,attn_out,id,tier_3,standard_translation,0.0023,0.0018,20,0
29,mlp_out,id,tier_3,standard_translation,-0.0038,0.0044,20,0
30,residual,id,tier_3,standard_translation,-0.0036,0.0051,20,0
30,attn_out,id,tier_3,standard_translation,-0.0006,0.001,20,0
30,mlp_out,id,tier_3,standard_translation,-0.0029,0.004,20,0
31,residual,id,tier_3,standard_translation,0.0,0.0,20,0
31,attn_out,id,tier_3,standard_translation,0.0,0.0,20,0
31,mlp_out,id,tier_3,standard_translation,0.0,0.0,20,0
0,residual,hi,tier_3,standard_translation,0.1957,0.4475,20,0
0,attn_out,hi,tier_3,standard_translation,-0.0233,0.1494,20,0
0,mlp_out,hi,tier_3,standard_translation,0.1285,0.4904,20,0
1,residual,hi,tier_3,standard_translation,0.2663,0.31,20,0
1,attn_out,hi,tier_3,standard_translation,-0.1095,0.1148,20,0
1,mlp_out,hi,tier_3,standard_translation,-0.015,0.1422,20,0
2,residual,hi,tier_3,standard_translation,0.3593,0.3649,20,0
2,attn_out,hi,tier_3,standard_translation,-0.0854,0.0872,20,0
2,mlp_out,hi,tier_3,standard_translation,-0.1468,0.1584,20,0
3,residual,hi,tier_3,standard_translation,0.352,0.3832,20,0
3,attn_out,hi,tier_3,standard_translation,0.0032,0.0428,20,0
3,mlp_out,hi,tier_3,standard_translation,-0.1073,0.1096,20,0
4,residual,hi,tier_3,standard_translation,0.3426,0.3864,20,0
4,attn_out,hi,tier_3,standard_translation,-0.0029,0.0144,20,0
4,mlp_out,hi,tier_3,standard_translation,-0.1364,0.184,20,0
5,residual,hi,tier_3,standard_translation,0.2664,0.3677,20,0
5,attn_out,hi,tier_3,standard_translation,-0.0406,0.2504,20,0
5,mlp_out,hi,tier_3,standard_translation,-0.0611,0.2631,20,0
6,residual,hi,tier_3,standard_translation,0.2409,0.3217,20,0
6,attn_out,hi,tier_3,standard_translation,-0.0056,0.0926,20,0
6,mlp_out,hi,tier_3,standard_translation,-0.1217,0.154,20,0
7,residual,hi,tier_3,standard_translation,0.1643,0.2817,20,0
7,attn_out,hi,tier_3,standard_translation,-0.0042,0.0577,20,0
7,mlp_out,hi,tier_3,standard_translation,0.0398,0.1764,20,0
8,residual,hi,tier_3,standard_translation,0.1542,0.2711,20,0
8,attn_out,hi,tier_3,standard_translation,-0.0195,0.0305,20,0
8,mlp_out,hi,tier_3,standard_translation,-0.0057,0.0958,20,0
9,residual,hi,tier_3,standard_translation,0.0833,0.2637,20,0
9,attn_out,hi,tier_3,standard_translation,-0.0353,0.0569,20,0
9,mlp_out,hi,tier_3,standard_translation,-0.0106,0.0498,20,0
10,residual,hi,tier_3,standard_translation,0.0822,0.3067,20,0
10,attn_out,hi,tier_3,standard_translation,-0.0142,0.0672,20,0
10,mlp_out,hi,tier_3,standard_translation,0.0353,0.1863,20,0
11,residual,hi,tier_3,standard_translation,0.0497,0.34,20,0
11,attn_out,hi,tier_3,standard_translation,-0.0131,0.0346,20,0
11,mlp_out,hi,tier_3,standard_translation,-0.0213,0.1985,20,0
12,residual,hi,tier_3,standard_translation,0.0524,0.4539,20,0
12,attn_out,hi,tier_3,standard_translation,-0.0736,0.0406,20,0
12,mlp_out,hi,tier_3,standard_translation,0.0913,0.1027,20,0
13,residual,hi,tier_3,standard_translation,0.0442,0.4491,20,0
13,attn_out,hi,tier_3,standard_translation,-0.0194,0.0123,20,0
13,mlp_out,hi,tier_3,standard_translation,0.0411,0.1581,20,0
14,residual,hi,tier_3,standard_translation,0.0479,0.4331,20,0
14,attn_out,hi,tier_3,standard_translation,-0.0096,0.0199,20,0
14,mlp_out,hi,tier_3,standard_translation,0.0272,0.1805,20,0
15,residual,hi,tier_3,standard_translation,0.1241,0.3747,20,0
15,attn_out,hi,tier_3,standard_translation,0.002,0.0403,20,0
15,mlp_out,hi,tier_3,standard_translation,-0.0094,0.0296,20,0
16,residual,hi,tier_3,standard_translation,0.1399,0.3553,20,0
16,attn_out,hi,tier_3,standard_translation,0.0039,0.0115,20,0
16,mlp_out,hi,tier_3,standard_translation,0.0417,0.0493,20,0
17,residual,hi,tier_3,standard_translation,0.0244,0.1597,20,0
17,attn_out,hi,tier_3,standard_translation,-0.003,0.0109,20,0
17,mlp_out,hi,tier_3,standard_translation,0.0065,0.0176,20,0
18,residual,hi,tier_3,standard_translation,0.0168,0.1436,20,0
18,attn_out,hi,tier_3,standard_translation,0.0018,0.0047,20,0
18,mlp_out,hi,tier_3,standard_translation,0.0102,0.0106,20,0
19,residual,hi,tier_3,standard_translation,-0.0343,0.1535,20,0
19,attn_out,hi,tier_3,standard_translation,0.0051,0.0078,20,0
19,mlp_out,hi,tier_3,standard_translation,-0.0034,0.0193,20,0
20,residual,hi,tier_3,standard_translation,-0.0421,0.1097,20,0
20,attn_out,hi,tier_3,standard_translation,-0.0108,0.0111,20,0
20,mlp_out,hi,tier_3,standard_translation,0.0049,0.0182,20,0
21,residual,hi,tier_3,standard_translation,-0.0391,0.124,20,0
21,attn_out,hi,tier_3,standard_translation,-0.0011,0.0094,20,0
21,mlp_out,hi,tier_3,standard_translation,0.0065,0.0112,20,0
22,residual,hi,tier_3,standard_translation,-0.0407,0.1257,20,0
22,attn_out,hi,tier_3,standard_translation,-0.0004,0.0024,20,0
22,mlp_out,hi,tier_3,standard_translation,0.0027,0.0112,20,0
23,residual,hi,tier_3,standard_translation,-0.0263,0.1106,20,0
23,attn_out,hi,tier_3,standard_translation,-0.0043,0.0076,20,0
23,mlp_out,hi,tier_3,standard_translation,-0.0035,0.008,20,0
24,residual,hi,tier_3,standard_translation,-0.0311,0.1131,20,0
24,attn_out,hi,tier_3,standard_translation,0.0012,0.0081,20,0
24,mlp_out,hi,tier_3,standard_translation,0.0034,0.0124,20,0
25,residual,hi,tier_3,standard_translation,-0.0394,0.0885,20,0
25,attn_out,hi,tier_3,standard_translation,0.0004,0.0036,20,0
25,mlp_out,hi,tier_3,standard_translation,-0.0082,0.0105,20,0
26,residual,hi,tier_3,standard_translation,-0.035,0.0845,20,0
26,attn_out,hi,tier_3,standard_translation,0.0009,0.003,20,0
26,mlp_out,hi,tier_3,standard_translation,-0.0053,0.0086,20,0
27,residual,hi,tier_3,standard_translation,-0.0089,0.0194,20,0
27,attn_out,hi,tier_3,standard_translation,0.0047,0.0034,20,0
27,mlp_out,hi,tier_3,standard_translation,-0.0049,0.0181,20,0
28,residual,hi,tier_3,standard_translation,-0.0089,0.0195,20,0
28,attn_out,hi,tier_3,standard_translation,0.005,0.0051,20,0
28,mlp_out,hi,tier_3,standard_translation,-0.0092,0.0085,20,0
29,residual,hi,tier_3,standard_translation,-0.0002,0.0185,20,0
29,attn_out,hi,tier_3,standard_translation,0.0063,0.0095,20,0
29,mlp_out,hi,tier_3,standard_translation,-0.0039,0.007,20,0
30,residual,hi,tier_3,standard_translation,0.0052,0.0182,20,0
30,attn_out,hi,tier_3,standard_translation,-0.0033,0.0019,20,0
30,mlp_out,hi,tier_3,standard_translation,-0.0055,0.0106,20,0
31,residual,hi,tier_3,standard_translation,0.0,0.0,20,0
31,attn_out,hi,tier_3,standard_translation,0.0,0.0,20,0
31,mlp_out,hi,tier_3,standard_translation,0.0,0.0,20,0
0,residual,sw,tier_3,standard_translation,0.0119,0.0298,20,0
0,attn_out,sw,tier_3,standard_translation,0.005,0.0101,20,0
0,mlp_out,sw,tier_3,standard_translation,0.0253,0.0222,20,0
1,residual,sw,tier_3,standard_translation,0.0237,0.0352,20,0
1,attn_out,sw,tier_3,standard_translation,0.0082,0.0152,20,0
1,mlp_out,sw,tier_3,standard_translation,0.0069,0.0046,20,0
2,residual,sw,tier_3,standard_translation,0.0402,0.0403,20,0
2,attn_out,sw,tier_3,standard_translation,0.0005,0.0037,20,0
2,mlp_out,sw,tier_3,standard_translation,0.0062,0.0122,20,0
3,residual,sw,tier_3,standard_translation,0.0302,0.0612,20,0
3,attn_out,sw,tier_3,standard_translation,0.0045,0.0052,20,0
3,mlp_out,sw,tier_3,standard_translation,0.0032,0.0129,20,0
4,residual,sw,tier_3,standard_translation,0.0289,0.0621,20,0
4,attn_out,sw,tier_3,standard_translation,0.0016,0.008,20,0
4,mlp_out,sw,tier_3,standard_translation,0.009,0.0198,20,0
5,residual,sw,tier_3,standard_translation,0.0249,0.0481,20,0
5,attn_out,sw,tier_3,standard_translation,-0.0012,0.0065,20,0
5,mlp_out,sw,tier_3,standard_translation,0.0077,0.0153,20,0
6,residual,sw,tier_3,standard_translation,0.0314,0.0469,20,0
6,attn_out,sw,tier_3,standard_translation,-0.0048,0.0038,20,0
6,mlp_out,sw,tier_3,standard_translation,0.007,0.0137,20,0
7,residual,sw,tier_3,standard_translation,0.058,0.0561,20,0
7,attn_out,sw,tier_3,standard_translation,-0.0007,0.0035,20,0
7,mlp_out,sw,tier_3,standard_translation,-0.0016,0.0073,20,0
8,residual,sw,tier_3,standard_translation,0.0585,0.0584,20,0
8,attn_out,sw,tier_3,standard_translation,0.0004,0.0012,20,0
8,mlp_out,sw,tier_3,standard_translation,-0.0032,0.0099,20,0
9,residual,sw,tier_3,standard_translation,0.0606,0.0568,20,0
9,attn_out,sw,tier_3,standard_translation,0.0014,0.0059,20,0
9,mlp_out,sw,tier_3,standard_translation,0.0029,0.0062,20,0
10,residual,sw,tier_3,standard_translation,0.0623,0.0518,20,0
10,attn_out,sw,tier_3,standard_translation,-0.0018,0.0034,20,0
10,mlp_out,sw,tier_3,standard_translation,0.0044,0.0023,20,0
11,residual,sw,tier_3,standard_translation,0.0609,0.0518,20,0
11,attn_out,sw,tier_3,standard_translation,0.0007,0.0003,20,0
11,mlp_out,sw,tier_3,standard_translation,0.0043,0.0073,20,0
12,residual,sw,tier_3,standard_translation,0.0533,0.0532,20,0
12,attn_out,sw,tier_3,standard_translation,0.0,0.0029,20,0
12,mlp_out,sw,tier_3,standard_translation,0.0027,0.0051,20,0
13,residual,sw,tier_3,standard_translation,0.0482,0.0508,20,0
13,attn_out,sw,tier_3,standard_translation,-0.0014,0.002,20,0
13,mlp_out,sw,tier_3,standard_translation,0.0026,0.0034,20,0
14,residual,sw,tier_3,standard_translation,0.0472,0.0456,20,0
14,attn_out,sw,tier_3,standard_translation,0.0001,0.0017,20,0
14,mlp_out,sw,tier_3,standard_translation,0.0025,0.0045,20,0
15,residual,sw,tier_3,standard_translation,0.0468,0.0417,20,0
15,attn_out,sw,tier_3,standard_translation,-0.0003,0.0009,20,0
15,mlp_out,sw,tier_3,standard_translation,0.0017,0.0024,20,0
16,residual,sw,tier_3,standard_translation,0.0449,0.0398,20,0
16,attn_out,sw,tier_3,standard_translation,-0.0001,0.0015,20,0
16,mlp_out,sw,tier_3,standard_translation,0.0026,0.0032,20,0
17,residual,sw,tier_3,standard_translation,0.0173,0.0262,20,0
17,attn_out,sw,tier_3,standard_translation,0.0001,0.0004,20,0
17,mlp_out,sw,tier_3,standard_translation,0.0006,0.002,20,0
18,residual,sw,tier_3,standard_translation,0.0088,0.0232,20,0
18,attn_out,sw,tier_3,standard_translation,-0.0009,0.0007,20,0
18,mlp_out,sw,tier_3,standard_translation,-0.0001,0.0007,20,0
19,residual,sw,tier_3,standard_translation,0.0148,0.0252,20,0
19,attn_out,sw,tier_3,standard_translation,-0.0003,0.0017,20,0
19,mlp_out,sw,tier_3,standard_translation,0.0005,0.003,20,0
20,residual,sw,tier_3,standard_translation,0.0167,0.0213,20,0
20,attn_out,sw,tier_3,standard_translation,0.0005,0.002,20,0
20,mlp_out,sw,tier_3,standard_translation,0.0002,0.0018,20,0
21,residual,sw,tier_3,standard_translation,0.0071,0.0167,20,0
21,attn_out,sw,tier_3,standard_translation,-0.0002,0.0002,20,0
21,mlp_out,sw,tier_3,standard_translation,0.0006,0.0014,20,0
22,residual,sw,tier_3,standard_translation,0.0064,0.0174,20,0
22,attn_out,sw,tier_3,standard_translation,-0.0002,0.0005,20,0
22,mlp_out,sw,tier_3,standard_translation,0.0007,0.0005,20,0
23,residual,sw,tier_3,standard_translation,0.0085,0.0194,20,0
23,attn_out,sw,tier_3,standard_translation,0.0002,0.0003,20,0
23,mlp_out,sw,tier_3,standard_translation,0.0008,0.0003,20,0
24,residual,sw,tier_3,standard_translation,0.0069,0.0208,20,0
24,attn_out,sw,tier_3,standard_translation,-0.0003,0.0005,20,0
24,mlp_out,sw,tier_3,standard_translation,0.0003,0.0004,20,0
25,residual,sw,tier_3,standard_translation,0.0048,0.0199,20,0
25,attn_out,sw,tier_3,standard_translation,-0.0002,0.0005,20,0
25,mlp_out,sw,tier_3,standard_translation,-0.0007,0.0006,20,0
26,residual,sw,tier_3,standard_translation,0.004,0.0174,20,0
26,attn_out,sw,tier_3,standard_translation,-0.0001,0.0003,20,0
26,mlp_out,sw,tier_3,standard_translation,0.0013,0.0009,20,0
27,residual,sw,tier_3,standard_translation,0.0015,0.0168,20,0
27,attn_out,sw,tier_3,standard_translation,-0.0002,0.0001,20,0
27,mlp_out,sw,tier_3,standard_translation,-0.0002,0.0002,20,0
28,residual,sw,tier_3,standard_translation,0.0023,0.0094,20,0
28,attn_out,sw,tier_3,standard_translation,0.0001,0.0002,20,0
28,mlp_out,sw,tier_3,standard_translation,-0.0003,0.0004,20,0
29,residual,sw,tier_3,standard_translation,0.001,0.0014,20,0
29,attn_out,sw,tier_3,standard_translation,0.0003,0.0001,20,0
29,mlp_out,sw,tier_3,standard_translation,-0.0002,0.0002,20,0
30,residual,sw,tier_3,standard_translation,0.0006,0.0003,20,0
30,attn_out,sw,tier_3,standard_translation,0.0,0.0,20,0
30,mlp_out,sw,tier_3,standard_translation,0.0004,0.0002,20,0
31,residual,sw,tier_3,standard_translation,0.0,0.0,20,0
31,attn_out,sw,tier_3,standard_translation,0.0,0.0,20,0
31,mlp_out,sw,tier_3,standard_translation,0.0,0.0,20,0
0,residual,yo,tier_4,standard_translation,-0.0134,0.0482,20,0
0,attn_out,yo,tier_4,standard_translation,-0.0092,0.0086,20,0
0,mlp_out,yo,tier_4,standard_translation,-0.0089,0.0323,20,0
1,residual,yo,tier_4,standard_translation,-0.0106,0.0538,20,0
1,attn_out,yo,tier_4,standard_translation,-0.0042,0.0067,20,0
1,mlp_out,yo,tier_4,standard_translation,0.0,0.0064,20,0
2,residual,yo,tier_4,standard_translation,-0.0117,0.0516,20,0
2,attn_out,yo,tier_4,standard_translation,-0.0002,0.0059,20,0
2,mlp_out,yo,tier_4,standard_translation,0.0003,0.005,20,0
3,residual,yo,tier_4,standard_translation,-0.0017,0.0432,20,0
3,attn_out,yo,tier_4,standard_translation,-0.0003,0.0034,20,0
3,mlp_out,yo,tier_4,standard_translation,0.0025,0.0068,20,0
4,residual,yo,tier_4,standard_translation,-0.0017,0.0456,20,0
4,attn_out,yo,tier_4,standard_translation,-0.0005,0.0057,20,0
4,mlp_out,yo,tier_4,standard_translation,0.002,0.0049,20,0
5,residual,yo,tier_4,standard_translation,0.0074,0.0489,20,0
5,attn_out,yo,tier_4,standard_translation,0.0041,0.0091,20,0
5,mlp_out,yo,tier_4,standard_translation,-0.0058,0.0055,20,0
6,residual,yo,tier_4,standard_translation,0.0139,0.0557,20,0
6,attn_out,yo,tier_4,standard_translation,-0.0031,0.0044,20,0
6,mlp_out,yo,tier_4,standard_translation,0.0007,0.0068,20,0
7,residual,yo,tier_4,standard_translation,0.0437,0.0382,20,0
7,attn_out,yo,tier_4,standard_translation,0.0019,0.0078,20,0
7,mlp_out,yo,tier_4,standard_translation,-0.0027,0.0075,20,0
8,residual,yo,tier_4,standard_translation,0.0456,0.034,20,0
8,attn_out,yo,tier_4,standard_translation,-0.0005,0.0029,20,0
8,mlp_out,yo,tier_4,standard_translation,0.0051,0.002,20,0
9,residual,yo,tier_4,standard_translation,0.055,0.0297,20,0
9,attn_out,yo,tier_4,standard_translation,0.0029,0.0067,20,0
9,mlp_out,yo,tier_4,standard_translation,-0.0058,0.0039,20,0
10,residual,yo,tier_4,standard_translation,0.0613,0.0203,20,0
10,attn_out,yo,tier_4,standard_translation,-0.0014,0.0019,20,0
10,mlp_out,yo,tier_4,standard_translation,-0.0008,0.0025,20,0
11,residual,yo,tier_4,standard_translation,0.0701,0.0192,20,0
11,attn_out,yo,tier_4,standard_translation,-0.0005,0.0023,20,0
11,mlp_out,yo,tier_4,standard_translation,-0.001,0.0017,20,0
12,residual,yo,tier_4,standard_translation,0.0646,0.0234,20,0
12,attn_out,yo,tier_4,standard_translation,-0.0023,0.0018,20,0
12,mlp_out,yo,tier_4,standard_translation,0.0016,0.0052,20,0
13,residual,yo,tier_4,standard_translation,0.0699,0.021,20,0
13,attn_out,yo,tier_4,standard_translation,-0.0012,0.0013,20,0
13,mlp_out,yo,tier_4,standard_translation,0.0013,0.0034,20,0
14,residual,yo,tier_4,standard_translation,0.0726,0.0275,20,0
14,attn_out,yo,tier_4,standard_translation,0.0005,0.0007,20,0
14,mlp_out,yo,tier_4,standard_translation,0.0017,0.002,20,0
15,residual,yo,tier_4,standard_translation,0.0669,0.0348,20,0
15,attn_out,yo,tier_4,standard_translation,0.001,0.0022,20,0
15,mlp_out,yo,tier_4,standard_translation,-0.0019,0.0042,20,0
16,residual,yo,tier_4,standard_translation,0.0688,0.0293,20,0
16,attn_out,yo,tier_4,standard_translation,-0.0015,0.0019,20,0
16,mlp_out,yo,tier_4,standard_translation,-0.0014,0.0025,20,0
17,residual,yo,tier_4,standard_translation,0.0236,0.0216,20,0
17,attn_out,yo,tier_4,standard_translation,0.0001,0.0004,20,0
17,mlp_out,yo,tier_4,standard_translation,0.0003,0.0018,20,0
18,residual,yo,tier_4,standard_translation,0.0171,0.016,20,0
18,attn_out,yo,tier_4,standard_translation,-0.0006,0.0002,20,0
18,mlp_out,yo,tier_4,standard_translation,0.0003,0.0008,20,0
19,residual,yo,tier_4,standard_translation,0.018,0.0156,20,0
19,attn_out,yo,tier_4,standard_translation,0.0003,0.0006,20,0
19,mlp_out,yo,tier_4,standard_translation,0.0012,0.0018,20,0
20,residual,yo,tier_4,standard_translation,0.0135,0.0129,20,0
20,attn_out,yo,tier_4,standard_translation,0.0004,0.0007,20,0
20,mlp_out,yo,tier_4,standard_translation,0.0004,0.0006,20,0
21,residual,yo,tier_4,standard_translation,0.0096,0.0104,20,0
21,attn_out,yo,tier_4,standard_translation,0.0005,0.0007,20,0
21,mlp_out,yo,tier_4,standard_translation,0.0009,0.0007,20,0
22,residual,yo,tier_4,standard_translation,0.0093,0.0091,20,0
22,attn_out,yo,tier_4,standard_translation,0.0003,0.0004,20,0
22,mlp_out,yo,tier_4,standard_translation,0.0018,0.003,20,0
23,residual,yo,tier_4,standard_translation,0.0077,0.0102,20,0
23,attn_out,yo,tier_4,standard_translation,-0.0,0.0003,20,0
23,mlp_out,yo,tier_4,standard_translation,0.0004,0.0008,20,0
24,residual,yo,tier_4,standard_translation,0.0016,0.0057,20,0
24,attn_out,yo,tier_4,standard_translation,0.0001,0.0005,20,0
24,mlp_out,yo,tier_4,standard_translation,0.0005,0.0006,20,0
25,residual,yo,tier_4,standard_translation,0.0004,0.0069,20,0
25,attn_out,yo,tier_4,standard_translation,0.0004,0.0005,20,0
25,mlp_out,yo,tier_4,standard_translation,-0.0003,0.001,20,0
26,residual,yo,tier_4,standard_translation,0.0001,0.0072,20,0
26,attn_out,yo,tier_4,standard_translation,0.0001,0.0002,20,0
26,mlp_out,yo,tier_4,standard_translation,-0.0007,0.0016,20,0
27,residual,yo,tier_4,standard_translation,-0.0004,0.0078,20,0
27,attn_out,yo,tier_4,standard_translation,0.0002,0.0001,20,0
27,mlp_out,yo,tier_4,standard_translation,0.0,0.0004,20,0
28,residual,yo,tier_4,standard_translation,0.0016,0.0032,20,0
28,attn_out,yo,tier_4,standard_translation,0.0004,0.0008,20,0
28,mlp_out,yo,tier_4,standard_translation,0.0014,0.0026,20,0
29,residual,yo,tier_4,standard_translation,0.0004,0.0008,20,0
29,attn_out,yo,tier_4,standard_translation,0.0008,0.0016,20,0
29,mlp_out,yo,tier_4,standard_translation,0.0006,0.001,20,0
30,residual,yo,tier_4,standard_translation,0.0009,0.0015,20,0
30,attn_out,yo,tier_4,standard_translation,-0.0004,0.0008,20,0
30,mlp_out,yo,tier_4,standard_translation,0.0006,0.0012,20,0
31,residual,yo,tier_4,standard_translation,0.0,0.0,20,0
31,attn_out,yo,tier_4,standard_translation,0.0,0.0,20,0
31,mlp_out,yo,tier_4,standard_translation,0.0,0.0,20,0
0,residual,zu,tier_4,standard_translation,-0.0172,0.0188,20,0
0,attn_out,zu,tier_4,standard_translation,-0.0018,0.012,20,0
0,mlp_out,zu,tier_4,standard_translation,-0.025,0.0134,20,0
1,residual,zu,tier_4,standard_translation,-0.0175,0.0192,20,0
1,attn_out,zu,tier_4,standard_translation,0.0026,0.0097,20,0
1,mlp_out,zu,tier_4,standard_translation,0.0011,0.0064,20,0
2,residual,zu,tier_4,standard_translation,-0.016,0.0154,20,0
2,attn_out,zu,tier_4,standard_translation,-0.0029,0.004,20,0
2,mlp_out,zu,tier_4,standard_translation,0.0054,0.0191,20,0
3,residual,zu,tier_4,standard_translation,-0.0223,0.0116,20,0
3,attn_out,zu,tier_4,standard_translation,0.0039,0.0026,20,0
3,mlp_out,zu,tier_4,standard_translation,0.003,0.0113,20,0
4,residual,zu,tier_4,standard_translation,-0.0248,0.0131,20,0
4,attn_out,zu,tier_4,standard_translation,0.0016,0.0038,20,0
4,mlp_out,zu,tier_4,standard_translation,0.0006,0.0024,20,0
5,residual,zu,tier_4,standard_translation,-0.0367,0.0375,20,0
5,attn_out,zu,tier_4,standard_translation,-0.0002,0.0044,20,0
5,mlp_out,zu,tier_4,standard_translation,0.0083,0.006,20,0
6,residual,zu,tier_4,standard_translation,-0.0187,0.0409,20,0
6,attn_out,zu,tier_4,standard_translation,-0.0029,0.0046,20,0
6,mlp_out,zu,tier_4,standard_translation,-0.0017,0.004,20,0
7,residual,zu,tier_4,standard_translation,0.0101,0.0283,20,0
7,attn_out,zu,tier_4,standard_translation,-0.0027,0.0039,20,0
7,mlp_out,zu,tier_4,standard_translation,-0.0076,0.0079,20,0
8,residual,zu,tier_4,standard_translation,0.0178,0.0284,20,0
8,attn_out,zu,tier_4,standard_translation,0.0015,0.001,20,0
8,mlp_out,zu,tier_4,standard_translation,-0.0055,0.0091,20,0
9,residual,zu,tier_4,standard_translation,0.0259,0.0267,20,0
9,attn_out,zu,tier_4,standard_translation,0.0082,0.006,20,0
9,mlp_out,zu,tier_4,standard_translation,-0.0006,0.0033,20,0
10,residual,zu,tier_4,standard_translation,0.0337,0.0262,20,0
10,attn_out,zu,tier_4,standard_translation,-0.0002,0.0017,20,0
10,mlp_out,zu,tier_4,standard_translation,0.0045,0.0043,20,0
11,residual,zu,tier_4,standard_translation,0.0395,0.0251,20,0
11,attn_out,zu,tier_4,standard_translation,0.0026,0.0012,20,0
11,mlp_out,zu,tier_4,standard_translation,-0.0067,0.006,20,0
12,residual,zu,tier_4,standard_translation,0.0271,0.03,20,0
12,attn_out,zu,tier_4,standard_translation,0.0021,0.0008,20,0
12,mlp_out,zu,tier_4,standard_translation,-0.0015,0.0037,20,0
13,residual,zu,tier_4,standard_translation,0.0218,0.0279,20,0
13,attn_out,zu,tier_4,standard_translation,0.0018,0.001,20,0
13,mlp_out,zu,tier_4,standard_translation,-0.0012,0.0073,20,0
14,residual,zu,tier_4,standard_translation,0.0125,0.015,20,0
14,attn_out,zu,tier_4,standard_translation,-0.0022,0.0018,20,0
14,mlp_out,zu,tier_4,standard_translation,-0.0039,0.0055,20,0
15,residual,zu,tier_4,standard_translation,0.0162,0.0117,20,0
15,attn_out,zu,tier_4,standard_translation,0.0013,0.0019,20,0
15,mlp_out,zu,tier_4,standard_translation,0.0003,0.0023,20,0
16,residual,zu,tier_4,standard_translation,0.0123,0.0113,20,0
16,attn_out,zu,tier_4,standard_translation,0.0004,0.001,20,0
16,mlp_out,zu,tier_4,standard_translation,0.0002,0.0012,20,0
17,residual,zu,tier_4,standard_translation,-0.0157,0.013,20,0
17,attn_out,zu,tier_4,standard_translation,0.0011,0.0006,20,0
17,mlp_out,zu,tier_4,standard_translation,-0.0043,0.0017,20,0
18,residual,zu,tier_4,standard_translation,-0.007,0.0089,20,0
18,attn_out,zu,tier_4,standard_translation,-0.0012,0.001,20,0
18,mlp_out,zu,tier_4,standard_translation,0.0,0.0015,20,0
19,residual,zu,tier_4,standard_translation,0.0037,0.0115,20,0
19,attn_out,zu,tier_4,standard_translation,-0.0009,0.0009,20,0
19,mlp_out,zu,tier_4,standard_translation,0.0017,0.0014,20,0
20,residual,zu,tier_4,standard_translation,0.0004,0.008,20,0
20,attn_out,zu,tier_4,standard_translation,-0.0003,0.0004,20,0
20,mlp_out,zu,tier_4,standard_translation,-0.0018,0.0025,20,0
21,residual,zu,tier_4,standard_translation,-0.0005,0.0088,20,0
21,attn_out,zu,tier_4,standard_translation,-0.0001,0.0002,20,0
21,mlp_out,zu,tier_4,standard_translation,-0.0026,0.0014,20,0
22,residual,zu,tier_4,standard_translation,0.0024,0.0087,20,0
22,attn_out,zu,tier_4,standard_translation,0.0,0.0009,20,0
22,mlp_out,zu,tier_4,standard_translation,-0.0011,0.0008,20,0
23,residual,zu,tier_4,standard_translation,0.0013,0.0053,20,0
23,attn_out,zu,tier_4,standard_translation,0.0003,0.0005,20,0
23,mlp_out,zu,tier_4,standard_translation,-0.0046,0.003,20,0
24,residual,zu,tier_4,standard_translation,0.0039,0.0068,20,0
24,attn_out,zu,tier_4,standard_translation,0.0003,0.0008,20,0
24,mlp_out,zu,tier_4,standard_translation,0.0012,0.0011,20,0
25,residual,zu,tier_4,standard_translation,0.0029,0.0062,20,0
25,attn_out,zu,tier_4,standard_translation,0.0003,0.0004,20,0
25,mlp_out,zu,tier_4,standard_translation,-0.0,0.0007,20,0
26,residual,zu,tier_4,standard_translation,0.0028,0.0041,20,0
26,attn_out,zu,tier_4,standard_translation,0.0001,0.0002,20,0
26,mlp_out,zu,tier_4,standard_translation,0.0011,0.0009,20,0
27,residual,zu,tier_4,standard_translation,0.0021,0.003,20,0
27,attn_out,zu,tier_4,standard_translation,-0.0002,0.0003,20,0
27,mlp_out,zu,tier_4,standard_translation,0.0006,0.0008,20,0
28,residual,zu,tier_4,standard_translation,0.0019,0.003,20,0
28,attn_out,zu,tier_4,standard_translation,0.0001,0.0002,20,0
28,mlp_out,zu,tier_4,standard_translation,0.0006,0.0005,20,0
29,residual,zu,tier_4,standard_translation,0.0012,0.0005,20,0
29,attn_out,zu,tier_4,standard_translation,0.0002,0.0004,20,0
29,mlp_out,zu,tier_4,standard_translation,-0.0002,0.0004,20,0
30,residual,zu,tier_4,standard_translation,0.0007,0.0002,20,0
30,attn_out,zu,tier_4,standard_translation,0.0001,0.0001,20,0
30,mlp_out,zu,tier_4,standard_translation,-0.0,0.0003,20,0
31,residual,zu,tier_4,standard_translation,0.0,0.0,20,0
31,attn_out,zu,tier_4,standard_translation,0.0,0.0,20,0
31,mlp_out,zu,tier_4,standard_translation,0.0,0.0,20,0
0,residual,gd,tier_4,standard_translation,-0.0127,0.0246,20,0
0,attn_out,gd,tier_4,standard_translation,-0.0121,0.0137,20,0
0,mlp_out,gd,tier_4,standard_translation,-0.0033,0.026,20,0
1,residual,gd,tier_4,standard_translation,-0.0097,0.0275,20,0
1,attn_out,gd,tier_4,standard_translation,-0.008,0.0086,20,0
