layer,component,language,tier,perturbation,mean_restoration,std_restoration,n_pairs_used,n_pairs_skipped
26,mlp_out,de,tier_1,standard_translation,-0.0043,0.0045,20,0
27,residual,de,tier_1,standard_translation,-0.0129,0.0135,20,0
27,attn_out,de,tier_1,standard_translation,-0.0008,0.0006,20,0
27,mlp_out,de,tier_1,standard_translation,-0.003,0.0051,20,0
28,residual,de,tier_1,standard_translation,-0.0104,0.0112,20,0
28,attn_out,de,tier_1,standard_translation,-0.0011,0.0012,20,0
28,mlp_out,de,tier_1,standard_translation,-0.0013,0.0021,20,0
29,residual,de,tier_1,standard_translation,-0.0072,0.0096,20,0
29,attn_out,de,tier_1,standard_translation,0.0009,0.0011,20,0
29,mlp_out,de,tier_1,standard_translation,-0.0043,0.0051,20,0
30,residual,de,tier_1,standard_translation,0.0,0.0031,20,0
30,attn_out,de,tier_1,standard_translation,-0.0006,0.0006,20,0
30,mlp_out,de,tier_1,standard_translation,-0.0007,0.003,20,0
31,residual,de,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,de,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,de,tier_1,standard_translation,0.0,0.0,20,0
0,residual,fr,tier_1,standard_translation,0.0613,0.084,20,0
0,attn_out,fr,tier_1,standard_translation,0.0474,0.0318,20,0
0,mlp_out,fr,tier_1,standard_translation,0.0757,0.0676,20,0
1,residual,fr,tier_1,standard_translation,0.0492,0.0766,20,0
1,attn_out,fr,tier_1,standard_translation,0.0178,0.0228,20,0
1,mlp_out,fr,tier_1,standard_translation,0.0062,0.0151,20,0
2,residual,fr,tier_1,standard_translation,0.0428,0.0607,20,0
2,attn_out,fr,tier_1,standard_translation,-0.0011,0.0101,20,0
2,mlp_out,fr,tier_1,standard_translation,0.0089,0.0128,20,0
3,residual,fr,tier_1,standard_translation,0.042,0.0613,20,0
3,attn_out,fr,tier_1,standard_translation,0.0059,0.0038,20,0
3,mlp_out,fr,tier_1,standard_translation,0.0004,0.0062,20,0
4,residual,fr,tier_1,standard_translation,0.0419,0.0571,20,0
4,attn_out,fr,tier_1,standard_translation,-0.0066,0.0128,20,0
4,mlp_out,fr,tier_1,standard_translation,0.001,0.0178,20,0
5,residual,fr,tier_1,standard_translation,0.0402,0.0452,20,0
5,attn_out,fr,tier_1,standard_translation,0.0246,0.0123,20,0
5,mlp_out,fr,tier_1,standard_translation,0.0065,0.0124,20,0
6,residual,fr,tier_1,standard_translation,0.0424,0.0323,20,0
6,attn_out,fr,tier_1,standard_translation,0.0128,0.0065,20,0
6,mlp_out,fr,tier_1,standard_translation,0.0036,0.0131,20,0
7,residual,fr,tier_1,standard_translation,0.0341,0.0326,20,0
7,attn_out,fr,tier_1,standard_translation,0.0245,0.0077,20,0
7,mlp_out,fr,tier_1,standard_translation,0.0044,0.0168,20,0
8,residual,fr,tier_1,standard_translation,0.0321,0.0316,20,0
8,attn_out,fr,tier_1,standard_translation,0.0045,0.0093,20,0
8,mlp_out,fr,tier_1,standard_translation,0.0168,0.0158,20,0
9,residual,fr,tier_1,standard_translation,0.0341,0.0315,20,0
9,attn_out,fr,tier_1,standard_translation,0.0096,0.0132,20,0
9,mlp_out,fr,tier_1,standard_translation,0.0045,0.0188,20,0
10,residual,fr,tier_1,standard_translation,0.0259,0.0276,20,0
10,attn_out,fr,tier_1,standard_translation,0.0026,0.0177,20,0
10,mlp_out,fr,tier_1,standard_translation,0.0104,0.0071,20,0
11,residual,fr,tier_1,standard_translation,0.0262,0.0297,20,0
11,attn_out,fr,tier_1,standard_translation,-0.0017,0.0122,20,0
11,mlp_out,fr,tier_1,standard_translation,0.0021,0.0134,20,0
12,residual,fr,tier_1,standard_translation,0.0214,0.0294,20,0
12,attn_out,fr,tier_1,standard_translation,-0.002,0.0082,20,0
12,mlp_out,fr,tier_1,standard_translation,0.0096,0.0124,20,0
13,residual,fr,tier_1,standard_translation,0.0217,0.0345,20,0
13,attn_out,fr,tier_1,standard_translation,-0.0049,0.0102,20,0
13,mlp_out,fr,tier_1,standard_translation,0.0308,0.017,20,0
14,residual,fr,tier_1,standard_translation,0.02,0.0381,20,0
14,attn_out,fr,tier_1,standard_translation,-0.0033,0.0089,20,0
14,mlp_out,fr,tier_1,standard_translation,0.0061,0.0116,20,0
15,residual,fr,tier_1,standard_translation,0.0219,0.0289,20,0
15,attn_out,fr,tier_1,standard_translation,-0.0018,0.0032,20,0
15,mlp_out,fr,tier_1,standard_translation,0.0085,0.0109,20,0
16,residual,fr,tier_1,standard_translation,0.0106,0.0265,20,0
16,attn_out,fr,tier_1,standard_translation,-0.0003,0.0026,20,0
16,mlp_out,fr,tier_1,standard_translation,0.0134,0.0138,20,0
17,residual,fr,tier_1,standard_translation,0.0109,0.0267,20,0
17,attn_out,fr,tier_1,standard_translation,-0.0006,0.0023,20,0
17,mlp_out,fr,tier_1,standard_translation,-0.0019,0.0071,20,0
18,residual,fr,tier_1,standard_translation,0.0078,0.0276,20,0
18,attn_out,fr,tier_1,standard_translation,0.0001,0.0021,20,0
18,mlp_out,fr,tier_1,standard_translation,0.0029,0.0049,20,0
19,residual,fr,tier_1,standard_translation,0.0083,0.0286,20,0
19,attn_out,fr,tier_1,standard_translation,-0.0028,0.0066,20,0
19,mlp_out,fr,tier_1,standard_translation,0.0047,0.0054,20,0
20,residual,fr,tier_1,standard_translation,0.0111,0.0308,20,0
20,attn_out,fr,tier_1,standard_translation,0.0017,0.0043,20,0
20,mlp_out,fr,tier_1,standard_translation,0.0036,0.0092,20,0
21,residual,fr,tier_1,standard_translation,0.0037,0.0247,20,0
21,attn_out,fr,tier_1,standard_translation,-0.003,0.0044,20,0
21,mlp_out,fr,tier_1,standard_translation,0.003,0.0036,20,0
22,residual,fr,tier_1,standard_translation,0.0031,0.0263,20,0
22,attn_out,fr,tier_1,standard_translation,0.0008,0.0009,20,0
22,mlp_out,fr,tier_1,standard_translation,0.0035,0.0068,20,0
23,residual,fr,tier_1,standard_translation,-0.0042,0.0208,20,0
23,attn_out,fr,tier_1,standard_translation,0.0003,0.0021,20,0
23,mlp_out,fr,tier_1,standard_translation,0.0043,0.0045,20,0
24,residual,fr,tier_1,standard_translation,-0.0027,0.0161,20,0
24,attn_out,fr,tier_1,standard_translation,-0.0014,0.0038,20,0
24,mlp_out,fr,tier_1,standard_translation,-0.0039,0.0066,20,0
25,residual,fr,tier_1,standard_translation,-0.0038,0.0147,20,0
25,attn_out,fr,tier_1,standard_translation,0.0005,0.0011,20,0
25,mlp_out,fr,tier_1,standard_translation,-0.0056,0.0088,20,0
26,residual,fr,tier_1,standard_translation,-0.0036,0.0158,20,0
26,attn_out,fr,tier_1,standard_translation,-0.0004,0.0013,20,0
26,mlp_out,fr,tier_1,standard_translation,-0.0023,0.0046,20,0
27,residual,fr,tier_1,standard_translation,-0.0031,0.0168,20,0
27,attn_out,fr,tier_1,standard_translation,-0.0002,0.0015,20,0
27,mlp_out,fr,tier_1,standard_translation,0.0002,0.0021,20,0
28,residual,fr,tier_1,standard_translation,0.0024,0.0006,20,0
28,attn_out,fr,tier_1,standard_translation,-0.0001,0.0015,20,0
28,mlp_out,fr,tier_1,standard_translation,0.0001,0.0016,20,0
29,residual,fr,tier_1,standard_translation,0.0023,0.0012,20,0
29,attn_out,fr,tier_1,standard_translation,0.0006,0.0018,20,0
29,mlp_out,fr,tier_1,standard_translation,0.0001,0.0024,20,0
30,residual,fr,tier_1,standard_translation,0.0025,0.0018,20,0
30,attn_out,fr,tier_1,standard_translation,-0.0006,0.0011,20,0
30,mlp_out,fr,tier_1,standard_translation,0.0014,0.0012,20,0
31,residual,fr,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,fr,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,fr,tier_1,standard_translation,0.0,0.0,20,0
0,residual,zh,tier_1,standard_translation,7.7871,14.4451,20,0
0,attn_out,zh,tier_1,standard_translation,0.5838,0.9374,20,0
0,mlp_out,zh,tier_1,standard_translation,6.9598,12.7446,20,0
1,residual,zh,tier_1,standard_translation,9.1791,17.0425,20,0
1,attn_out,zh,tier_1,standard_translation,-0.0545,0.3241,20,0
1,mlp_out,zh,tier_1,standard_translation,0.4317,0.7855,20,0
2,residual,zh,tier_1,standard_translation,8.6799,15.9566,20,0
2,attn_out,zh,tier_1,standard_translation,-0.0218,0.613,20,0
2,mlp_out,zh,tier_1,standard_translation,-0.5761,1.3912,20,0
3,residual,zh,tier_1,standard_translation,8.2585,15.1331,20,0
3,attn_out,zh,tier_1,standard_translation,-0.3534,0.7371,20,0
3,mlp_out,zh,tier_1,standard_translation,0.5695,1.1901,20,0
4,residual,zh,tier_1,standard_translation,7.7496,14.2012,20,0
4,attn_out,zh,tier_1,standard_translation,0.1655,0.5296,20,0
4,mlp_out,zh,tier_1,standard_translation,-0.7225,1.0705,20,0
5,residual,zh,tier_1,standard_translation,6.9128,12.6441,20,0
5,attn_out,zh,tier_1,standard_translation,2.0921,4.0108,20,0
5,mlp_out,zh,tier_1,standard_translation,-0.0751,0.4373,20,0
6,residual,zh,tier_1,standard_translation,4.7036,8.2626,20,0
6,attn_out,zh,tier_1,standard_translation,-0.4286,0.9649,20,0
6,mlp_out,zh,tier_1,standard_translation,0.6725,1.135,20,0
7,residual,zh,tier_1,standard_translation,4.0051,7.0272,20,0
7,attn_out,zh,tier_1,standard_translation,0.4178,0.6382,20,0
7,mlp_out,zh,tier_1,standard_translation,-0.6274,1.0253,20,0
