tier,layer,component,perturbation,mean_delta,std_delta
tier_1,10,attn_out,transliteration,0.004750000000000001,0.118725
tier_1,10,mlp_out,code_switching,-0.1623,0.365475
tier_1,10,mlp_out,standard_translation,-0.12492500000000001,0.12875
tier_1,10,mlp_out,transliteration,0.058425,0.147
tier_1,10,residual,code_switching,-0.944625,1.167875
tier_1,10,residual,standard_translation,-0.06280000000000001,0.30985
tier_1,10,residual,transliteration,-0.251125,0.41154999999999997
tier_1,11,attn_out,code_switching,0.006275,0.04805
tier_1,11,attn_out,standard_translation,-0.007299999999999999,0.068275
tier_1,11,attn_out,transliteration,0.020575000000000003,0.135375
tier_1,11,mlp_out,code_switching,-0.17020000000000002,0.207
tier_1,11,mlp_out,standard_translation,-0.02975,0.145625
tier_1,11,mlp_out,transliteration,0.03485,0.12714999999999999
tier_1,11,residual,code_switching,-0.9343000000000001,1.132475
tier_1,11,residual,standard_translation,-0.037825,0.2645
tier_1,11,residual,transliteration,-0.23407499999999998,0.40547500000000003
tier_1,12,attn_out,code_switching,0.05365,0.07245
tier_1,12,attn_out,standard_translation,-0.013125,0.0746
tier_1,12,attn_out,transliteration,-0.005849999999999999,0.064575
tier_1,12,mlp_out,code_switching,-0.07669999999999999,0.17995
tier_1,12,mlp_out,standard_translation,-0.10175000000000001,0.15792499999999998
tier_1,12,mlp_out,transliteration,0.02835,0.152475
tier_1,12,residual,code_switching,-0.7555000000000001,0.928175
tier_1,12,residual,standard_translation,-0.003700000000000002,0.25279999999999997
tier_1,12,residual,transliteration,-0.210975,0.3429
tier_1,13,attn_out,code_switching,0.02115,0.0438
tier_1,13,attn_out,standard_translation,0.013999999999999999,0.06117500000000001
tier_1,13,attn_out,transliteration,0.043775,0.08835
tier_1,13,mlp_out,code_switching,-0.1511,0.2424
tier_1,13,mlp_out,standard_translation,-0.21175,0.09205
tier_1,13,mlp_out,transliteration,0.068025,0.1594
tier_1,13,residual,code_switching,-0.695475,0.881325
tier_1,13,residual,standard_translation,0.019375000000000003,0.25982500000000003
tier_1,13,residual,transliteration,-0.198375,0.33055
tier_1,14,attn_out,code_switching,0.0217,0.041825
tier_1,14,attn_out,standard_translation,0.02,0.04645
tier_1,14,attn_out,transliteration,-0.0072499999999999995,0.083175
tier_1,14,mlp_out,code_switching,-0.130975,0.28700000000000003
tier_1,14,mlp_out,standard_translation,-0.052925,0.07627500000000001
tier_1,14,mlp_out,transliteration,-0.1163,0.068075
tier_1,14,residual,code_switching,-0.5776249999999999,0.721075
tier_1,14,residual,standard_translation,0.054775,0.227675
tier_1,14,residual,transliteration,-0.2949,0.25129999999999997
tier_1,15,attn_out,code_switching,0.004275,0.01955
tier_1,15,attn_out,standard_translation,0.0139,0.035925
tier_1,15,attn_out,transliteration,-0.015550000000000001,0.10289999999999999
tier_1,15,mlp_out,code_switching,-0.08852499999999999,0.10417499999999999
tier_1,15,mlp_out,standard_translation,-0.050949999999999995,0.06937499999999999
tier_1,15,mlp_out,transliteration,-0.06905,0.1293
tier_1,15,residual,code_switching,-0.488375,0.641825
tier_1,15,residual,standard_translation,0.009574999999999998,0.203075
tier_1,15,residual,transliteration,-0.303475,0.216275
tier_1,16,attn_out,code_switching,0.007925,0.01725
tier_1,16,attn_out,standard_translation,0.015025,0.02535
tier_1,16,attn_out,transliteration,0.030775,0.069925
tier_1,16,mlp_out,code_switching,-0.086725,0.114275
tier_1,16,mlp_out,standard_translation,-0.021775,0.07342499999999999
tier_1,16,mlp_out,transliteration,-0.0622,0.105625
tier_1,16,residual,code_switching,-0.458325,0.6211
tier_1,16,residual,standard_translation,0.12062500000000001,0.183475
tier_1,16,residual,transliteration,-0.334025,0.1941
tier_1,17,attn_out,code_switching,0.0038250000000000003,0.01705
tier_1,17,attn_out,standard_translation,0.00047499999999999973,0.025275
tier_1,17,attn_out,transliteration,0.0224,0.045649999999999996
tier_1,17,mlp_out,code_switching,-0.007475,0.061149999999999996
tier_1,17,mlp_out,standard_translation,0.0056749999999999995,0.054625
tier_1,17,mlp_out,transliteration,-0.026424999999999997,0.06747500000000001
tier_1,17,residual,code_switching,-0.1337,0.266075
tier_1,17,residual,standard_translation,0.063975,0.1631
tier_1,17,residual,transliteration,-0.096025,0.14655
tier_1,18,attn_out,code_switching,0.005575,0.0101
tier_1,18,attn_out,standard_translation,-0.0037999999999999996,0.019674999999999998
tier_1,18,attn_out,transliteration,0.0185,0.034425
tier_1,18,mlp_out,code_switching,0.0036499999999999987,0.07085
tier_1,18,mlp_out,standard_translation,-0.011675,0.0358
tier_1,18,mlp_out,transliteration,-0.021575,0.056025
tier_1,18,residual,code_switching,-0.061349999999999995,0.200725
tier_1,18,residual,standard_translation,0.0633,0.16185
tier_1,18,residual,transliteration,-0.0675,0.13322499999999998
tier_1,19,attn_out,code_switching,-0.00265,0.01175
tier_1,19,attn_out,standard_translation,0.022175,0.0332
tier_1,19,attn_out,transliteration,0.001425,0.027
tier_1,19,mlp_out,code_switching,0.0020499999999999997,0.022224999999999998
tier_1,19,mlp_out,standard_translation,-0.007199999999999999,0.048225
tier_1,19,mlp_out,transliteration,-0.012150000000000001,0.055075
tier_1,19,residual,code_switching,-0.0316,0.1827
tier_1,19,residual,standard_translation,0.0533,0.169225
tier_1,19,residual,transliteration,-0.015300000000000001,0.11737500000000001
tier_1,20,attn_out,code_switching,0.0028750000000000004,0.038974999999999996
tier_1,20,attn_out,standard_translation,-0.015850000000000003,0.028624999999999998
tier_1,20,attn_out,transliteration,0.014575,0.0274
