language,layer,category,cv_accuracy,cv_auc,best_C,n_harmful,n_benign
de,28,unknown,0.0,0.0,1.0,384,384
de,28,all,0.0,0.0,1.0,384,384
de,29,unknown,0.0,0.0,1.0,384,384
de,29,all,0.0,0.0,1.0,384,384
de,30,unknown,0.0,0.0,1.0,384,384
de,30,all,0.0,0.0,1.0,384,384
de,31,unknown,0.0,0.0,1.0,384,384
de,31,all,0.0,0.0,1.0,384,384
fr,0,unknown,0.0,0.0,1.0,384,384
fr,0,all,0.0,0.0,1.0,384,384
fr,1,unknown,0.0,0.0,1.0,384,384
fr,1,all,0.0,0.0,1.0,384,384
fr,2,unknown,0.0,0.0,1.0,384,384
fr,2,all,0.0,0.0,1.0,384,384
fr,3,unknown,0.0,0.0,1.0,384,384
fr,3,all,0.0,0.0,1.0,384,384
fr,4,unknown,0.0,0.0,1.0,384,384
fr,4,all,0.0,0.0,1.0,384,384
fr,5,unknown,0.0,0.0,1.0,384,384
fr,5,all,0.0,0.0,1.0,384,384
fr,6,unknown,0.0,0.0,1.0,384,384
fr,6,all,0.0,0.0,1.0,384,384
fr,7,unknown,0.0,0.0,1.0,384,384
fr,7,all,0.0,0.0,1.0,384,384
fr,8,unknown,0.0,0.0,1.0,384,384
fr,8,all,0.0,0.0,1.0,384,384
fr,9,unknown,0.0,0.0,1.0,384,384
fr,9,all,0.0,0.0,1.0,384,384
fr,10,unknown,0.0,0.0,1.0,384,384
fr,10,all,0.0,0.0,1.0,384,384
fr,11,unknown,0.0,0.0,1.0,384,384
fr,11,all,0.0,0.0,1.0,384,384
fr,12,unknown,0.0,0.0,1.0,384,384
fr,12,all,0.0,0.0,1.0,384,384
fr,13,unknown,0.0,0.0,1.0,384,384
fr,13,all,0.0,0.0,1.0,384,384
fr,14,unknown,0.0,0.0,1.0,384,384
fr,14,all,0.0,0.0,1.0,384,384
fr,15,unknown,0.0,0.0,1.0,384,384
fr,15,all,0.0,0.0,1.0,384,384
fr,16,unknown,0.0,0.0,1.0,384,384
fr,16,all,0.0,0.0,1.0,384,384
fr,17,unknown,0.0,0.0,1.0,384,384
fr,17,all,0.0,0.0,1.0,384,384
fr,18,unknown,0.0,0.0,1.0,384,384
fr,18,all,0.0,0.0,1.0,384,384
