tier,layer,component,perturbation,mean_restoration,std_restoration
tier_1,10,mlp_out,standard_translation,0.012225,0.138075
tier_1,10,mlp_out,transliteration,0.007625000000000003,0.11449999999999999
tier_1,10,residual,code_switching,0.09555,0.34597500000000003
tier_1,10,residual,standard_translation,0.800525,1.399475
tier_1,10,residual,transliteration,0.0796,0.30055
tier_1,11,attn_out,code_switching,0.020925,0.05605
tier_1,11,attn_out,standard_translation,-0.078725,0.16695
tier_1,11,attn_out,transliteration,-0.011075000000000002,0.1422
tier_1,11,mlp_out,code_switching,0.021625,0.12442500000000001
tier_1,11,mlp_out,standard_translation,-0.040725,0.19702499999999998
tier_1,11,mlp_out,transliteration,-0.044774999999999995,0.117125
tier_1,11,residual,code_switching,0.06092499999999999,0.37365000000000004
tier_1,11,residual,standard_translation,0.582475,0.98535
tier_1,11,residual,transliteration,0.0881,0.2731
tier_1,12,attn_out,code_switching,0.014125,0.05084999999999999
tier_1,12,attn_out,standard_translation,-0.0009000000000000002,0.041299999999999996
tier_1,12,attn_out,transliteration,-0.0035499999999999998,0.036725
tier_1,12,mlp_out,code_switching,0.016050000000000002,0.0736
tier_1,12,mlp_out,standard_translation,0.331925,0.5418000000000001
tier_1,12,mlp_out,transliteration,-0.046825,0.13105
tier_1,12,residual,code_switching,0.0398,0.32895
tier_1,12,residual,standard_translation,0.393825,0.647775
tier_1,12,residual,transliteration,0.066775,0.1812
tier_1,13,attn_out,code_switching,-0.006000000000000002,0.05975
tier_1,13,attn_out,standard_translation,-0.06217500000000001,0.098475
tier_1,13,attn_out,transliteration,-0.0017500000000000016,0.1263
tier_1,13,mlp_out,code_switching,0.042525,0.0692
tier_1,13,mlp_out,standard_translation,0.410325,0.704225
tier_1,13,mlp_out,transliteration,-0.050575,0.1321
tier_1,13,residual,code_switching,0.038250000000000006,0.3089
tier_1,13,residual,standard_translation,0.36925,0.6104499999999999
tier_1,13,residual,transliteration,0.056825,0.142725
tier_1,14,attn_out,code_switching,0.0023750000000000004,0.03425
tier_1,14,attn_out,standard_translation,-0.09952499999999999,0.203825
tier_1,14,attn_out,transliteration,0.027549999999999998,0.073975
tier_1,14,mlp_out,code_switching,0.0922,0.119175
tier_1,14,mlp_out,standard_translation,0.0824,0.1457
tier_1,14,mlp_out,transliteration,0.0204,0.09675
tier_1,14,residual,code_switching,0.023899999999999998,0.294225
tier_1,14,residual,standard_translation,0.06507500000000001,0.108775
tier_1,14,residual,transliteration,0.05945,0.183275
tier_1,15,attn_out,code_switching,0.009600000000000001,0.029825
tier_1,15,attn_out,standard_translation,-0.037925,0.08987500000000001
tier_1,15,attn_out,transliteration,0.040025000000000005,0.09245
tier_1,15,mlp_out,code_switching,0.009125,0.053575
tier_1,15,mlp_out,standard_translation,-0.015925,0.058875
tier_1,15,mlp_out,transliteration,0.027875,0.080225
tier_1,15,residual,code_switching,0.054525,0.227875
tier_1,15,residual,standard_translation,-0.0097,0.11695
tier_1,15,residual,transliteration,0.0562,0.16497499999999998
tier_1,16,attn_out,code_switching,-0.00105,0.013000000000000001
tier_1,16,attn_out,standard_translation,0.02115,0.055075000000000006
tier_1,16,attn_out,transliteration,-0.008974999999999999,0.08945
tier_1,16,mlp_out,code_switching,0.018125,0.07505
tier_1,16,mlp_out,standard_translation,-0.08332500000000001,0.21087500000000003
tier_1,16,mlp_out,transliteration,0.061725,0.12667499999999998
tier_1,16,residual,code_switching,0.04625,0.24735000000000001
tier_1,16,residual,standard_translation,-0.27940000000000004,0.614325
tier_1,16,residual,transliteration,0.084475,0.1699
tier_1,17,attn_out,code_switching,-0.0015000000000000002,0.013824999999999999
tier_1,17,attn_out,standard_translation,0.0396,0.084975
tier_1,17,attn_out,transliteration,0.0016000000000000003,0.040174999999999995
tier_1,17,mlp_out,code_switching,0.0254,0.051074999999999995
tier_1,17,mlp_out,standard_translation,0.16920000000000002,0.3441
tier_1,17,mlp_out,transliteration,-0.013274999999999999,0.078175
tier_1,17,residual,code_switching,0.0087,0.1701
tier_1,17,residual,standard_translation,-0.162275,0.395875
tier_1,17,residual,transliteration,0.05905,0.114425
tier_1,18,attn_out,code_switching,0.0006000000000000001,0.008525
tier_1,18,attn_out,standard_translation,-0.010225,0.031825
tier_1,18,attn_out,transliteration,-0.0055249999999999995,0.018025
tier_1,18,mlp_out,code_switching,0.011199999999999998,0.0499
tier_1,18,mlp_out,standard_translation,0.05915,0.110525
tier_1,18,mlp_out,transliteration,0.009175,0.02375
tier_1,18,residual,code_switching,0.017550000000000003,0.133325
tier_1,18,residual,standard_translation,-0.126025,0.315975
tier_1,18,residual,transliteration,0.039775,0.11349999999999999
tier_1,19,attn_out,code_switching,-0.001,0.0083
tier_1,19,attn_out,standard_translation,-0.016524999999999998,0.0265
tier_1,19,attn_out,transliteration,-0.014025,0.024975
tier_1,19,mlp_out,code_switching,0.00915,0.024275
tier_1,19,mlp_out,standard_translation,0.1163,0.2062
tier_1,19,mlp_out,transliteration,-0.034425000000000004,0.095775
tier_1,19,residual,code_switching,0.02305,0.1152
tier_1,19,residual,standard_translation,-0.146975,0.366275
tier_1,19,residual,transliteration,0.0006999999999999992,0.0669
tier_1,20,attn_out,code_switching,0.01175,0.043800000000000006
tier_1,20,attn_out,standard_translation,0.01575,0.023950000000000003
tier_1,20,attn_out,transliteration,-0.00365,0.016825
tier_1,20,mlp_out,code_switching,-0.0027500000000000003,0.01875
tier_1,20,mlp_out,standard_translation,0.162175,0.31325000000000003
tier_1,20,mlp_out,transliteration,0.01975,0.055425
tier_1,20,residual,code_switching,0.01445,0.099525
tier_1,20,residual,standard_translation,-0.18184999999999998,0.42807500000000004
tier_1,20,residual,transliteration,-0.013624999999999998,0.047725000000000004
tier_1,21,attn_out,code_switching,-0.006699999999999999,0.013499999999999998
tier_1,21,attn_out,standard_translation,0.019525000000000004,0.0444
tier_1,21,attn_out,transliteration,-0.0076749999999999995,0.014425
tier_1,21,mlp_out,code_switching,-0.0024249999999999996,0.0154
tier_1,21,mlp_out,standard_translation,-0.028225,0.070275
tier_1,21,mlp_out,transliteration,0.01255,0.0393
tier_1,21,residual,code_switching,-0.008149999999999998,0.13405
tier_1,21,residual,standard_translation,-0.233875,0.49165
tier_1,21,residual,transliteration,-0.01415,0.04435
tier_1,22,attn_out,code_switching,-0.000825,0.00345
tier_1,22,attn_out,standard_translation,-0.0055249999999999995,0.010325
tier_1,22,attn_out,transliteration,-0.00305,0.014575000000000001
tier_1,22,mlp_out,code_switching,-0.0108,0.030525
tier_1,22,mlp_out,standard_translation,0.032375,0.07
tier_1,22,mlp_out,transliteration,0.010150000000000001,0.036074999999999996
tier_1,22,residual,code_switching,-0.0054750000000000024,0.12539999999999998
tier_1,22,residual,standard_translation,-0.27345,0.558675
tier_1,22,residual,transliteration,-0.029124999999999998,0.044775
tier_1,23,attn_out,code_switching,-0.0029,0.008624999999999999
tier_1,23,attn_out,standard_translation,0.096625,0.2028
tier_1,23,attn_out,transliteration,0.0016499999999999998,0.018099999999999998
tier_1,23,mlp_out,code_switching,-0.00455,0.028999999999999998
tier_1,23,mlp_out,standard_translation,0.04865,0.0912
tier_1,23,mlp_out,transliteration,0.007825,0.0246
tier_1,23,residual,code_switching,-0.002275000000000001,0.117725
tier_1,23,residual,standard_translation,-0.32935000000000003,0.663575
tier_1,23,residual,transliteration,-0.034625,0.046924999999999994
tier_1,24,attn_out,code_switching,0.0032,0.005625
tier_1,24,attn_out,standard_translation,-0.02515,0.0562
tier_1,24,attn_out,transliteration,-0.005199999999999999,0.034824999999999995
tier_1,24,mlp_out,code_switching,-0.00795,0.025375
tier_1,24,mlp_out,standard_translation,0.022875000000000003,0.057275000000000006
tier_1,24,mlp_out,transliteration,0.009825,0.048975000000000005
tier_1,24,residual,code_switching,0.005725000000000001,0.091775
tier_1,24,residual,standard_translation,-0.30705,0.608475
tier_1,24,residual,transliteration,-0.030075,0.0409
tier_1,25,attn_out,code_switching,-0.004200000000000001,0.0098
tier_1,25,attn_out,standard_translation,-0.00825,0.019299999999999998
tier_1,25,attn_out,transliteration,0.0035,0.0216
tier_1,25,mlp_out,code_switching,-0.002425,0.0152
tier_1,25,mlp_out,standard_translation,-0.16809999999999997,0.34890000000000004
tier_1,25,mlp_out,transliteration,-0.01475,0.028999999999999998
tier_1,25,residual,code_switching,0.010725,0.08877499999999999
tier_1,25,residual,standard_translation,-0.3075,0.60615
tier_1,25,residual,transliteration,-0.033125,0.04685
tier_1,26,attn_out,code_switching,0.0016,0.003425
tier_1,26,attn_out,standard_translation,-0.01315,0.0276
tier_1,26,attn_out,transliteration,-0.0027250000000000004,0.012125
tier_1,26,mlp_out,code_switching,-0.006425,0.020475
tier_1,26,mlp_out,standard_translation,-0.084,0.163875
tier_1,26,mlp_out,transliteration,-0.0004750000000000006,0.040775
tier_1,26,residual,code_switching,0.0114,0.09712499999999999
tier_1,26,residual,standard_translation,-0.32842499999999997,0.6408750000000001
tier_1,26,residual,transliteration,-0.02665,0.039975
tier_1,27,attn_out,code_switching,0.0011249999999999997,0.006025
tier_1,27,attn_out,standard_translation,0.000275,0.004274999999999999
tier_1,27,attn_out,transliteration,-0.014125,0.050075
tier_1,27,mlp_out,code_switching,-0.015674999999999998,0.02795
tier_1,27,mlp_out,standard_translation,0.03705,0.09422499999999999
tier_1,27,mlp_out,transliteration,-0.0015500000000000002,0.029400000000000003
tier_1,27,residual,code_switching,-0.0172,0.051449999999999996
tier_1,27,residual,standard_translation,-0.31110000000000004,0.60845
tier_1,27,residual,transliteration,-0.023425,0.038474999999999995
tier_1,28,attn_out,code_switching,0.0005500000000000001,0.006
tier_1,28,attn_out,standard_translation,0.04555,0.090525
tier_1,28,attn_out,transliteration,-0.001625,0.009899999999999999
tier_1,28,mlp_out,code_switching,-0.00155,0.0075250000000000004
tier_1,28,mlp_out,standard_translation,-0.07957499999999999,0.15135
tier_1,28,mlp_out,transliteration,-0.016025,0.020649999999999998
tier_1,28,residual,code_switching,-0.01175,0.038075
tier_1,28,residual,standard_translation,-0.1603,0.318275
tier_1,28,residual,transliteration,-0.023075,0.033875
tier_1,29,attn_out,code_switching,-0.0007750000000000001,0.0029249999999999996
tier_1,29,attn_out,standard_translation,0.059825,0.1138
tier_1,29,attn_out,transliteration,-7.50000000000002e-05,0.01345
tier_1,29,mlp_out,code_switching,-0.0008500000000000002,0.0056749999999999995
tier_1,29,mlp_out,standard_translation,-0.04100000000000001,0.07527500000000001
tier_1,29,mlp_out,transliteration,-0.0005500000000000019,0.040100000000000004
tier_1,29,residual,code_switching,-0.01265,0.032
tier_1,29,residual,standard_translation,-0.16697499999999998,0.329025
tier_1,29,residual,transliteration,-0.015,0.0314
tier_1,30,attn_out,code_switching,0.00095,0.002175
tier_1,30,attn_out,standard_translation,0.0032500000000000003,0.011125
tier_1,30,attn_out,transliteration,-0.0023250000000000002,0.0103
tier_1,30,mlp_out,code_switching,0.003975,0.01015
tier_1,30,mlp_out,standard_translation,-0.045375,0.09535
tier_1,30,mlp_out,transliteration,-0.0028,0.018424999999999997
tier_1,30,residual,code_switching,-0.015175,0.038724999999999996
tier_1,30,residual,standard_translation,-0.121275,0.246275
tier_1,30,residual,transliteration,-0.011125,0.03745
tier_1,31,attn_out,code_switching,0.0,0.0
tier_1,31,attn_out,standard_translation,0.0,0.0
tier_1,31,attn_out,transliteration,0.0,0.0
tier_1,31,mlp_out,code_switching,0.0,0.0
tier_1,31,mlp_out,standard_translation,0.0,0.0
tier_1,31,mlp_out,transliteration,0.0,0.0
tier_1,31,residual,code_switching,0.0,0.0
tier_1,31,residual,standard_translation,0.0,0.0
tier_1,31,residual,transliteration,0.0,0.0
tier_2,0,attn_out,code_switching,0.06975,0.2844
tier_2,0,attn_out,standard_translation,0.089175,0.22595
tier_2,0,attn_out,transliteration,0.04595,0.10425
tier_2,0,mlp_out,code_switching,0.292875,0.4715
tier_2,0,mlp_out,standard_translation,0.611,0.9092749999999999
tier_2,0,mlp_out,transliteration,0.6695749999999999,1.560925
tier_2,0,residual,code_switching,0.30017499999999997,0.47455
tier_2,0,residual,standard_translation,0.5435,0.9433
tier_2,0,residual,transliteration,0.70655,1.7816500000000002
tier_2,1,attn_out,code_switching,0.1036,0.20585
tier_2,1,attn_out,standard_translation,-0.15795,0.2484
tier_2,1,attn_out,transliteration,-0.20497500000000002,0.5938
tier_2,1,mlp_out,code_switching,0.110875,0.287575
tier_2,1,mlp_out,standard_translation,0.094075,0.116475
tier_2,1,mlp_out,transliteration,0.063575,0.16497499999999998
tier_2,1,residual,code_switching,0.267,0.383425
tier_2,1,residual,standard_translation,0.48065,0.91655
tier_2,1,residual,transliteration,0.44642499999999996,1.432175
tier_2,2,attn_out,code_switching,0.08575,0.161925
tier_2,2,attn_out,standard_translation,0.136325,0.2607
tier_2,2,attn_out,transliteration,-0.22579999999999997,0.4503
tier_2,2,mlp_out,code_switching,0.061925,0.162225
tier_2,2,mlp_out,standard_translation,-0.023500000000000004,0.126175
tier_2,2,mlp_out,transliteration,0.12125000000000001,0.301675
tier_2,2,residual,code_switching,0.2823,0.451675
tier_2,2,residual,standard_translation,0.43865000000000004,0.694775
tier_2,2,residual,transliteration,0.407175,1.1773500000000001
tier_2,3,attn_out,code_switching,0.004575,0.07342499999999999
tier_2,3,attn_out,standard_translation,-0.015600000000000004,0.104375
tier_2,3,attn_out,transliteration,-0.091125,0.180425
tier_2,3,mlp_out,code_switching,0.0581,0.22405
tier_2,3,mlp_out,standard_translation,-0.21655,0.277875
tier_2,3,mlp_out,transliteration,0.06135,0.14825
tier_2,3,residual,code_switching,0.2253,0.42755
tier_2,3,residual,standard_translation,0.27645000000000003,0.35324999999999995
tier_2,3,residual,transliteration,0.38117500000000004,1.102725
tier_2,4,attn_out,code_switching,-0.028175,0.0398
tier_2,4,attn_out,standard_translation,0.01455,0.03605
tier_2,4,attn_out,transliteration,-0.053925,0.204725
tier_2,4,mlp_out,code_switching,0.12614999999999998,0.14035
tier_2,4,mlp_out,standard_translation,-0.06472499999999999,0.1703
tier_2,4,mlp_out,transliteration,0.02257500000000001,0.263325
tier_2,4,residual,code_switching,0.197925,0.396625
tier_2,4,residual,standard_translation,0.18335,0.2129
tier_2,4,residual,transliteration,0.372575,0.975525
tier_2,5,attn_out,code_switching,0.007925000000000001,0.08035
tier_2,5,attn_out,standard_translation,-0.1514,0.199875
tier_2,5,attn_out,transliteration,-0.10149999999999999,0.215475
tier_2,5,mlp_out,code_switching,0.0006999999999999992,0.14300000000000002
tier_2,5,mlp_out,standard_translation,0.0077,0.065025
tier_2,5,mlp_out,transliteration,0.09385000000000002,0.22962499999999997
tier_2,5,residual,code_switching,0.1765,0.39740000000000003
tier_2,5,residual,standard_translation,0.094775,0.334575
tier_2,5,residual,transliteration,0.44525,1.0605250000000002
tier_2,6,attn_out,code_switching,-0.014900000000000004,0.133075
tier_2,6,attn_out,standard_translation,-0.106925,0.13715
tier_2,6,attn_out,transliteration,-0.1638,0.2907
tier_2,6,mlp_out,code_switching,0.06525,0.233975
tier_2,6,mlp_out,standard_translation,-0.136625,0.2333
tier_2,6,mlp_out,transliteration,0.22175,0.33875
tier_2,6,residual,code_switching,0.1728,0.432975
tier_2,6,residual,standard_translation,0.31085,0.388075
tier_2,6,residual,transliteration,0.329525,0.8179250000000001
tier_2,7,attn_out,code_switching,-0.013824999999999999,0.065
tier_2,7,attn_out,standard_translation,0.13995000000000002,0.320475
tier_2,7,attn_out,transliteration,-0.169925,0.36629999999999996
tier_2,7,mlp_out,code_switching,0.023725,0.111725
tier_2,7,mlp_out,standard_translation,-0.18967499999999998,0.485675
tier_2,7,mlp_out,transliteration,0.1041,0.147725
tier_2,7,residual,code_switching,0.184175,0.45735000000000003
tier_2,7,residual,standard_translation,0.30429999999999996,0.34207499999999996
tier_2,7,residual,transliteration,0.24985000000000002,0.506725
tier_2,8,attn_out,code_switching,0.010925,0.039025000000000004
tier_2,8,attn_out,standard_translation,0.0471,0.11397499999999999
tier_2,8,attn_out,transliteration,-0.029375000000000002,0.098825
tier_2,8,mlp_out,code_switching,0.018075,0.22752499999999998
tier_2,8,mlp_out,standard_translation,0.122275,0.2132
tier_2,8,mlp_out,transliteration,0.251725,0.454075
tier_2,8,residual,code_switching,0.19995000000000002,0.4946
tier_2,8,residual,standard_translation,0.27864999999999995,0.34354999999999997
tier_2,8,residual,transliteration,0.27497499999999997,0.527325
tier_2,9,attn_out,code_switching,0.025775,0.050725000000000006
tier_2,9,attn_out,standard_translation,0.009075,0.11585
tier_2,9,attn_out,transliteration,-0.0502,0.112975
tier_2,9,mlp_out,code_switching,0.0224,0.116725
tier_2,9,mlp_out,standard_translation,0.238275,0.365
tier_2,9,mlp_out,transliteration,0.063225,0.1233
tier_2,9,residual,code_switching,0.172125,0.374825
tier_2,9,residual,standard_translation,0.3918,0.6135499999999999
tier_2,9,residual,transliteration,0.23425,0.404
tier_2,10,attn_out,code_switching,-0.015449999999999998,0.0407
tier_2,10,attn_out,standard_translation,0.117475,0.261575
tier_2,10,attn_out,transliteration,-0.051574999999999996,0.2284
tier_2,10,mlp_out,code_switching,0.02815,0.05905
tier_2,10,mlp_out,standard_translation,0.08165,0.33235000000000003
tier_2,10,mlp_out,transliteration,-0.035,0.4134
tier_2,10,residual,code_switching,0.15637500000000001,0.33809999999999996
tier_2,10,residual,standard_translation,0.412975,0.737175
tier_2,10,residual,transliteration,0.20170000000000002,0.3433
tier_2,11,attn_out,code_switching,0.0025749999999999996,0.030725000000000002
tier_2,11,attn_out,standard_translation,0.0014000000000000002,0.097075
tier_2,11,attn_out,transliteration,0.077625,0.125225
tier_2,11,mlp_out,code_switching,0.0018249999999999998,0.055475
tier_2,11,mlp_out,standard_translation,0.320075,0.647775
tier_2,11,mlp_out,transliteration,-0.34715,0.715025
tier_2,11,residual,code_switching,0.152225,0.36565
tier_2,11,residual,standard_translation,0.41759999999999997,0.8958999999999999
