language,perturbation,model,n_samples,asr_wildguard,asr_llamaguard,ci_lower_95,ci_upper_95,tier,en_asr,asr_delta_from_en
ar,code_switching,CohereForAI/aya-expanse-8b,384,0.2917,0.0,0.2484,0.339,tier2,0.0156,0.2761
ar,standard_translation,CohereForAI/aya-expanse-8b,384,0.1771,0.0,0.1422,0.2184,tier2,0.0156,0.1615
ar,translationese,CohereForAI/aya-expanse-8b,384,0.4219,0.0,0.3735,0.4718,tier2,0.0156,0.4063
ar,transliteration,CohereForAI/aya-expanse-8b,384,0.8359,0.0,0.7956,0.8696,tier2,0.0,0.8359
de,code_switching,CohereForAI/aya-expanse-8b,384,0.1484,0.0,0.1164,0.1875,tier1,0.0156,0.1328
de,standard_translation,CohereForAI/aya-expanse-8b,384,0.1094,0.0,0.0819,0.1445,tier1,0.0156,0.0938
de,translationese,CohereForAI/aya-expanse-8b,384,0.1068,0.0,0.0797,0.1416,tier1,0.0156,0.0912
de,transliteration,CohereForAI/aya-expanse-8b,384,0.2786,0.0,0.2362,0.3255,tier1,0.0,0.2786
en,code_switching,CohereForAI/aya-expanse-8b,384,0.0156,0.0,0.0072,0.0337,tier1,0.0156,0.0
en,standard_translation,CohereForAI/aya-expanse-8b,384,0.0156,0.0,0.0072,0.0337,tier1,0.0156,0.0
en,translationese,CohereForAI/aya-expanse-8b,384,0.0156,0.0,0.0072,0.0337,tier1,0.0156,0.0
en,transliteration,CohereForAI/aya-expanse-8b,384,0.0,0.0,0.0,0.0099,tier1,0.0,0.0
es,code_switching,CohereForAI/aya-expanse-8b,384,0.1667,0.0,0.1327,0.2072,tier1,0.0156,0.15109999999999998
es,standard_translation,CohereForAI/aya-expanse-8b,384,0.0833,0.0,0.0596,0.1153,tier1,0.0156,0.0677
es,translationese,CohereForAI/aya-expanse-8b,384,0.0833,0.0,0.0596,0.1153,tier1,0.0156,0.0677
es,transliteration,CohereForAI/aya-expanse-8b,384,0.112,0.0,0.0842,0.1474,tier1,0.0,0.112
fr,code_switching,CohereForAI/aya-expanse-8b,384,0.1328,0.0,0.1025,0.1704,tier1,0.0156,0.1172
fr,standard_translation,CohereForAI/aya-expanse-8b,384,0.0807,0.0,0.0575,0.1123,tier1,0.0156,0.06509999999999999
fr,translationese,CohereForAI/aya-expanse-8b,384,0.0859,0.0,0.0618,0.1182,tier1,0.0156,0.0703
fr,transliteration,CohereForAI/aya-expanse-8b,384,0.0,0.0,0.0,0.0099,tier1,0.0,0.0
gd,code_switching,CohereForAI/aya-expanse-8b,384,0.8307,0.0,0.79,0.8649,tier4,0.0156,0.8151
gd,standard_translation,CohereForAI/aya-expanse-8b,384,0.6719,0.0,0.6234,0.7169,tier4,0.0156,0.6563000000000001
gd,translationese,CohereForAI/aya-expanse-8b,384,0.6771,0.0,0.6288,0.7219,tier4,0.0156,0.6615000000000001
gd,transliteration,CohereForAI/aya-expanse-8b,384,0.0,0.0,0.0,0.0099,tier4,0.0,0.0
gn,code_switching,CohereForAI/aya-expanse-8b,384,0.4219,0.0,0.3735,0.4718,tier4,0.0156,0.4063
gn,standard_translation,CohereForAI/aya-expanse-8b,384,0.0,0.0,0.0,0.0099,tier4,0.0156,-0.0156
gn,translationese,CohereForAI/aya-expanse-8b,384,0.0104,0.0,0.0041,0.0265,tier4,0.0156,-0.0052
gn,transliteration,CohereForAI/aya-expanse-8b,384,0.0,0.0,0.0,0.0099,tier4,0.0,0.0
hi,code_switching,CohereForAI/aya-expanse-8b,384,0.5677,0.0,0.5177,0.6163,tier3,0.0156,0.5521
hi,standard_translation,CohereForAI/aya-expanse-8b,384,0.3021,0.0,0.2583,0.3498,tier3,0.0156,0.2865
hi,translationese,CohereForAI/aya-expanse-8b,384,0.5339,0.0,0.4839,0.5832,tier3,0.0156,0.5183000000000001
hi,transliteration,CohereForAI/aya-expanse-8b,384,0.7812,0.0,0.7372,0.8197,tier3,0.0,0.7812
id,code_switching,CohereForAI/aya-expanse-8b,384,0.1849,0.0,0.1493,0.2268,tier3,0.0156,0.1693
id,standard_translation,CohereForAI/aya-expanse-8b,384,0.1146,0.0,0.0865,0.1503,tier3,0.0156,0.09899999999999999
id,translationese,CohereForAI/aya-expanse-8b,384,0.1458,0.0,0.114,0.1846,tier3,0.0156,0.1302
id,transliteration,CohereForAI/aya-expanse-8b,384,0.4115,0.0,0.3634,0.4613,tier3,0.0,0.4115
ja,code_switching,CohereForAI/aya-expanse-8b,384,0.375,0.0,0.328,0.4244,tier2,0.0156,0.3594
ja,standard_translation,CohereForAI/aya-expanse-8b,384,0.1589,0.0,0.1257,0.1988,tier2,0.0156,0.1433
ja,translationese,CohereForAI/aya-expanse-8b,384,0.2396,0.0,0.1996,0.2847,tier2,0.0156,0.224
ja,transliteration,CohereForAI/aya-expanse-8b,384,0.776,0.0,0.7317,0.8149,tier2,0.0,0.776
jw,code_switching,CohereForAI/aya-expanse-8b,384,0.0495,0.0,0.0319,0.076,tier4,0.0156,0.0339
jw,standard_translation,CohereForAI/aya-expanse-8b,384,0.0,0.0,0.0,0.0099,tier4,0.0156,-0.0156
jw,translationese,CohereForAI/aya-expanse-8b,384,0.0,0.0,0.0,0.0099,tier4,0.0156,-0.0156
