language,layer,category,cv_accuracy,cv_auc,best_C,n_harmful,n_benign
en,0,unknown,0.9557677616501146,0.9910608871647832,1.0,384,384
en,0,all,0.9557677616501146,0.9910608871647832,1.0,384,384
en,1,unknown,0.9557592734063322,0.9917355371900826,1.0,384,384
en,1,all,0.9557592734063322,0.9917355371900826,1.0,384,384
en,2,unknown,0.9609540786011375,0.9868443245066623,1.0,384,384
en,2,all,0.9609540786011375,0.9868443245066623,1.0,384,384
en,3,unknown,0.9765724471606825,0.9979760499241018,1.0,384,384
en,3,all,0.9765724471606825,0.9979760499241018,1.0,384,384
en,4,unknown,0.9778796367031661,0.9973013998988025,10.0,384,384
en,4,all,0.9778796367031661,0.9973013998988025,10.0,384,384
en,5,unknown,0.9856888209829388,0.9993253499747006,10.0,384,384
en,5,all,0.9856888209829388,0.9993253499747006,10.0,384,384
en,6,unknown,0.9856888209829388,0.9994940124810254,0.1,384,384
en,6,all,0.9856888209829388,0.9994940124810254,0.1,384,384
en,7,unknown,0.9908836261777438,0.9996626749873503,0.1,384,384
en,7,all,0.9908836261777438,0.9996626749873503,0.1,384,384
en,8,unknown,0.9895934131228248,1.0,1.0,384,384
en,8,all,0.9895934131228248,1.0,1.0,384,384
en,9,unknown,0.985697309226721,0.998988024962051,10.0,384,384
en,9,all,0.985697309226721,0.998988024962051,10.0,384,384
en,10,unknown,0.9882947118241237,0.9986506999494013,10.0,384,384
en,10,all,0.9882947118241237,0.9986506999494013,10.0,384,384
en,11,unknown,0.9856888209829385,0.9979760499241018,10.0,384,384
en,11,all,0.9856888209829385,0.9979760499241018,10.0,384,384
en,12,unknown,0.98698752228164,0.9973013998988025,1.0,384,384
en,12,all,0.98698752228164,0.9973013998988025,1.0,384,384
en,13,unknown,0.9908921144215264,0.9979760499241018,0.1,384,384
en,13,all,0.9908921144215264,0.9979760499241018,0.1,384,384
en,14,unknown,0.9856888209829388,0.997807387417777,1.0,384,384
en,14,all,0.9856888209829388,0.997807387417777,1.0,384,384
en,15,unknown,0.9856888209829388,0.9969640748861529,1.0,384,384
en,15,all,0.9856888209829388,0.9969640748861529,1.0,384,384
en,16,unknown,0.9869960105254224,0.9967954123798279,0.1,384,384
en,16,all,0.9869960105254224,0.9967954123798279,0.1,384,384
en,17,unknown,0.9909006026653084,0.9961207623545286,0.1,384,384
en,17,all,0.9909006026653084,0.9961207623545286,0.1,384,384
en,18,unknown,0.9909006026653084,0.9966267498735031,0.1,384,384
en,18,all,0.9909006026653084,0.9966267498735031,0.1,384,384
en,19,unknown,0.9909006026653084,0.9967954123798279,0.1,384,384
en,19,all,0.9909006026653084,0.9967954123798279,0.1,384,384
en,20,unknown,0.9895934131228248,0.9966267498735031,0.1,384,384
en,20,all,0.9895934131228248,0.9966267498735031,0.1,384,384
en,21,unknown,0.9882862235803411,0.9969640748861528,1.0,384,384
en,21,all,0.9882862235803411,0.9969640748861528,1.0,384,384
en,22,unknown,0.9922077922077921,0.9974700624051274,0.1,384,384
en,22,all,0.9922077922077921,0.9974700624051274,0.1,384,384
en,23,unknown,0.9909006026653084,0.9969640748861528,0.1,384,384
en,23,all,0.9909006026653084,0.9969640748861528,0.1,384,384
en,24,unknown,0.99219930396401,0.9976387249114522,0.1,384,384
en,24,all,0.99219930396401,0.9976387249114522,0.1,384,384
en,25,unknown,0.9909006026653084,0.9974700624051274,0.1,384,384
en,25,all,0.9909006026653084,0.9974700624051274,0.1,384,384
en,26,unknown,0.9883032000679061,0.9969640748861528,0.1,384,384
en,26,all,0.9883032000679061,0.9969640748861528,0.1,384,384
en,27,unknown,0.9896103896103897,0.9971327373924777,0.1,384,384
en,27,all,0.9896103896103897,0.9971327373924777,0.1,384,384
en,28,unknown,0.9882947118241237,0.9967954123798279,1.0,384,384
en,28,all,0.9882947118241237,0.9967954123798279,1.0,384,384
en,29,unknown,0.9909006026653084,0.9969640748861528,1.0,384,384
en,29,all,0.9909006026653084,0.9969640748861528,1.0,384,384
en,30,unknown,0.9909006026653084,0.995614774835554,1.0,384,384
en,30,all,0.9909006026653084,0.995614774835554,1.0,384,384
en,31,unknown,0.9869960105254222,0.996795412379828,1.0,384,384
en,31,all,0.9869960105254222,0.996795412379828,1.0,384,384
de,0,unknown,0.8906714200831848,0.9467026480013494,10.0,384,384
de,0,all,0.8906714200831848,0.9467026480013494,10.0,384,384
de,1,unknown,0.8723962312197606,0.9374262101534829,0.1,384,384
de,1,all,0.8723962312197606,0.9374262101534829,0.1,384,384
de,2,unknown,0.8606909430438842,0.9321976724574127,0.1,384,384
de,2,all,0.8606909430438842,0.9321976724574127,0.1,384,384
de,3,unknown,0.9101689160512692,0.9785798616967448,1.0,384,384
de,3,all,0.9101689160512692,0.9785798616967448,1.0,384,384
de,4,unknown,0.9310245310245311,0.9733513240006747,0.1,384,384
de,4,all,0.9310245310245311,0.9733513240006747,0.1,384,384
de,5,unknown,0.9335794924030217,0.9777365491651206,0.01,384,384
de,5,all,0.9335794924030217,0.9777365491651206,0.01,384,384
de,6,unknown,0.9453357100415924,0.9843143869117895,0.1,384,384
de,6,all,0.9453357100415924,0.9843143869117895,0.1,384,384
de,7,unknown,0.9609540786011375,0.9949401248102547,1.0,384,384
de,7,all,0.9609540786011375,0.9949401248102547,1.0,384,384
de,8,unknown,0.9648756472285884,0.9922415247090571,1.0,384,384
de,8,all,0.9648756472285884,0.9922415247090571,1.0,384,384
de,9,unknown,0.9648756472285884,0.9903862371394838,10.0,384,384
de,9,all,0.9648756472285884,0.9903862371394838,10.0,384,384
de,10,unknown,0.9648501824972413,0.9876876370382864,1.0,384,384
de,10,all,0.9648501824972413,0.9876876370382864,1.0,384,384
de,11,unknown,0.9700619641796113,0.9856636869623883,10.0,384,384
de,11,all,0.9700619641796113,0.9856636869623883,10.0,384,384
de,12,unknown,0.9700704524233936,0.9897115871141846,0.1,384,384
de,12,all,0.9700704524233936,0.9897115871141846,0.1,384,384
de,13,unknown,0.9700619641796113,0.9934221622533311,10.0,384,384
de,13,all,0.9700619641796113,0.9934221622533311,10.0,384,384
de,14,unknown,0.96876326288091,0.9932534997470063,10.0,384,384
de,14,all,0.96876326288091,0.9932534997470063,10.0,384,384
de,15,unknown,0.9726593667770139,0.9903862371394838,10.0,384,384
de,15,all,0.9726593667770139,0.9903862371394838,10.0,384,384
de,16,unknown,0.9752567693744165,0.9907235621521336,10.0,384,384
